docname,from,to,pre,keyword,post,pattern
doc_281,3977,3977,p<c3><a5>litelig og stabil energileverand<c3><b8>r og bidra til n<c3><b8>dvendig,omstilling,gjennom tett samarbeid og partnerskap p<c3><a5> energiomr<c3><a5>det Norsk,omstilling*
doc_281,5662,5662,er med og drar lasset mot den gr<c3><b8>nne,omstillingen,vi st<c3><a5>r overfor Vi trenger ikke mindre samarbeid,omstilling*
doc_296,281,281,ny levek<c3><a5>rsunders<c3><b8>kelse i Endringer i <c3><b8>konomiske konjunkturer og,omstillingsbehov,i virksomhetene kan p<c3><a5>virke arbeidstakernes opplevelse av trygghet,omstilling*
doc_296,328,328,med en positiv vilje til <c3><a5> delta i,omstilling,Behovet for omstilling f<c3><b8>lger b<c3><a5>de av utfordringene i,omstilling*
doc_296,331,331,vilje til <c3><a5> delta i omstilling Behovet for,omstilling,f<c3><b8>lger b<c3><a5>de av utfordringene i petroleumsrelaterte n<c3><a6>ringer teknologisk,omstilling*
doc_296,369,369,og andre ordninger for <c3><a5> st<c3><b8>tte opp under,omstillingsbehov,og ivaretakelse av arbeidstakernes behov i denne sammenheng,omstilling*
doc_320,11,11,Holm<c3><a5>s SV Regjeringens egne tall viser jo at,omstillingen,allerede er i gang Det er brems i,omstilling*
doc_328,41,41,ganske komplisert situasjon Norge er inne i en,omstilling,det har vi diskutert mye Oljen har ikke,omstilling*
doc_329,307,307,sikkerhetspolitikken og n<c3><a5>r vi skal gjennom en vanskelig,omstilling,Vi skal st<c3><a5> opp for E<c3><98>S-avtalen ikke fordi,omstilling*
doc_331,439,439,nordisk samarbeid s<c3><a5> riktige og viktige Norden i,omstilling,Norden i Europa og Norden i verden,omstilling*
doc_340,614,614,effektivitet har Forsvaret over lengre tid v<c3><a6>rt i,omstilling,og denne prosessen fortsetter i langtidsplanen Det kuttes,omstilling*
doc_347,162,162,da vi gikk i gang med den store,omstillingen,av Forsvaret fra <c3><a5>rhundreskiftet fra et invasjonsforsvar til,omstilling*
doc_347,181,181,S<c3><a5> er det fortsatt behov for endringer og,omstilling,i lys av den sikkerhetspolitiske situasjonen den teknologiske,omstilling*
